amp_fac,server_id,data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,data
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
58.0,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
32.55555555555556,IP_8080,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy
